"id_new","buy","age","gender","tenure","region","dl","has_v_insurance","v_age","v_accident","v_prem_quote","cs_rep"
"a00000162",1,53,"male",105,29,1,0,"1-2 year","yes",61662.0,154
"a00000163",0,51,"female",190,28,1,0,"1-2 year","yes",45370.0,122
"a00000164",0,55,"male",258,28,1,0,"1-2 year","no",45910.0,122
"a00000165",0,59,"male",154,28,1,0,"> 2 years","yes",37559.0,122
"a00000166",0,30,"male",189,7,1,1,"1-2 year","no",49017.0,163
"a00000167",0,23,"female",121,15,1,1,"< 1 year","no",2630.0,151
"a00000168",0,49,"female",236,48,1,0,"1-2 year","yes",2630.0,154
"a00000169",0,27,"female",205,28,1,1,"< 1 year","no",37041.0,151
"a00000170",0,39,"male",45,8,1,1,"1-2 year","no",50020.0,122
"a00000171",0,52,"male",160,50,1,0,"1-2 year","yes",34840.0,154
"a00000172",0,41,"male",39,8,1,0,"1-2 year","yes",40147.0,163
"a00000173",0,78,"male",258,28,1,0,"> 2 years","yes",45000.0,122
"a00000174",0,24,"female",230,10,1,1,"< 1 year","no",2630.0,151
"a00000175",0,54,"male",92,28,1,0,"1-2 year","yes",44519.0,122
"a00000176",0,39,"female",173,14,1,0,"1-2 year","yes",25809.0,154
"a00000177",0,33,"male",139,28,1,0,"1-2 year","yes",22292.0,122
"a00000178",0,50,"female",270,28,1,0,"> 2 years","yes",54716.0,122
"a00000179",0,46,"male",185,0,1,0,"1-2 year","yes",2630.0,122
"a00000180",0,46,"female",120,28,1,0,"1-2 year","no",35052.0,122
"a00000181",0,70,"female",28,28,1,0,"1-2 year","yes",39263.0,122
"a00000182",0,71,"male",241,28,1,0,"1-2 year","yes",45420.0,122
"a00000183",0,65,"male",230,28,1,0,"1-2 year","yes",36509.0,122
"a00000184",0,55,"male",215,37,1,0,"1-2 year","yes",31461.0,122
"a00000185",1,61,"female",120,7,1,0,"1-2 year","yes",41797.0,154
"a00000186",0,26,"female",237,35,1,1,"< 1 year","no",2630.0,163
"a00000187",0,27,"male",19,28,1,1,"< 1 year","no",37449.0,151
"a00000188",0,24,"female",175,36,1,0,"< 1 year","yes",2630.0,122
"a00000189",0,22,"male",115,47,1,1,"< 1 year","no",35542.0,163
"a00000190",0,74,"male",278,28,1,1,"1-2 year","no",50476.0,122
"a00000191",0,76,"female",151,47,1,0,"1-2 year","yes",31070.0,122
"a00000192",1,29,"male",78,26,1,0,"< 1 year","yes",27296.0,163
"a00000193",0,23,"male",78,11,1,0,"< 1 year","yes",28352.0,151
"a00000194",1,47,"male",285,28,1,0,"1-2 year","yes",44863.0,122
"a00000195",0,65,"female",204,28,1,0,"1-2 year","no",60455.0,122
"a00000196",0,49,"male",35,41,1,0,"1-2 year","yes",23322.0,122
"a00000197",1,39,"female",59,26,1,0,"1-2 year","yes",31380.0,122
"a00000198",0,24,"male",243,15,1,1,"< 1 year","no",29639.0,151
"a00000199",0,30,"male",262,36,1,1,"< 1 year","no",34503.0,151
"a00000200",0,49,"female",245,29,1,0,"1-2 year","yes",30064.0,163
"a00000201",1,28,"male",286,28,1,0,"< 1 year","yes",33660.0,154
"a00000202",0,39,"male",108,28,1,1,"1-2 year","no",52603.0,122
"a00000203",0,39,"male",93,28,1,0,"1-2 year","yes",46926.0,154
"a00000204",0,72,"female",76,28,1,0,"1-2 year","yes",28217.0,154
"a00000205",0,21,"female",48,46,1,0,"< 1 year","yes",23165.0,122
"a00000206",0,32,"male",268,3,1,1,"1-2 year","no",2630.0,154
"a00000207",0,25,"female",273,15,1,0,"< 1 year","yes",2630.0,151
"a00000208",0,31,"male",74,28,1,1,"1-2 year","no",43229.0,122
"a00000209",0,78,"male",88,23,1,1,"1-2 year","no",32756.0,154
"a00000210",0,76,"male",48,28,1,1,"1-2 year","no",39673.0,122
"a00000211",1,35,"female",178,28,1,0,"1-2 year","yes",45640.0,163
"a00000212",0,42,"female",118,33,1,0,"1-2 year","yes",2630.0,122
"a00000213",0,23,"female",224,29,1,1,"< 1 year","no",43357.0,151
"a00000214",0,41,"female",29,28,1,1,"1-2 year","no",28899.0,122
"a00000215",0,23,"female",144,9,1,0,"< 1 year","yes",2630.0,151
"a00000216",0,36,"female",223,13,1,0,"1-2 year","yes",35256.0,154
"a00000217",0,69,"female",92,28,1,1,"1-2 year","no",21303.0,122
"a00000218",0,49,"male",48,8,1,0,"> 2 years","yes",63582.0,154
"a00000219",0,24,"female",187,16,1,1,"< 1 year","no",19197.0,151
"a00000220",0,24,"female",299,14,1,1,"< 1 year","no",16916.0,151
"a00000221",0,65,"male",250,28,1,0,"1-2 year","yes",48591.0,122
"a00000222",0,40,"male",33,28,1,0,"1-2 year","yes",30097.0,122
"a00000223",0,34,"male",281,44,1,0,"1-2 year","yes",27607.0,163
"a00000224",0,31,"male",139,29,1,1,"< 1 year","no",39920.0,151
"a00000225",1,31,"female",65,28,1,0,"1-2 year","yes",43176.0,122
"a00000226",0,41,"female",232,28,1,0,"1-2 year","yes",51045.0,122
"a00000227",0,43,"male",16,50,1,0,"1-2 year","yes",2630.0,163
"a00000228",0,39,"male",61,24,1,0,"1-2 year","yes",29145.0,163
"a00000229",1,43,"male",282,28,1,0,"1-2 year","yes",32220.0,122
"a00000230",0,24,"female",220,37,1,0,"< 1 year","yes",32198.0,151
"a00000231",0,23,"female",42,10,1,1,"< 1 year","no",28352.0,151
"a00000232",0,62,"male",26,28,1,0,"1-2 year","yes",2630.0,122
"a00000233",0,59,"male",220,28,1,1,"1-2 year","no",44797.0,122
"a00000234",1,36,"male",216,29,1,0,"1-2 year","yes",34021.0,154
"a00000235",0,28,"female",38,46,1,1,"< 1 year","no",22477.0,163
"a00000236",0,52,"female",185,28,1,0,"1-2 year","yes",42974.0,122
"a00000237",0,25,"female",208,3,1,1,"< 1 year","yes",30625.0,154
"a00000238",0,46,"female",66,8,1,0,"1-2 year","yes",25778.0,154
"a00000239",0,39,"female",51,3,1,1,"1-2 year","no",25617.0,163
"a00000240",0,43,"male",233,35,1,0,"1-2 year","yes",30255.0,154
"a00000241",0,37,"male",161,27,1,0,"1-2 year","yes",2630.0,163
"a00000242",0,33,"male",177,15,1,0,"< 1 year","yes",39538.0,151
"a00000243",0,63,"male",167,28,1,0,"1-2 year","yes",47502.0,122
"a00000244",1,44,"female",31,22,1,0,"1-2 year","yes",31813.0,154
"a00000245",1,78,"male",227,28,1,0,"> 2 years","yes",38041.0,122
"a00000246",0,29,"female",289,45,1,1,"< 1 year","no",27829.0,151
"a00000247",0,37,"male",136,15,1,0,"1-2 year","yes",28556.0,154
"a00000248",1,26,"male",97,8,1,0,"< 1 year","yes",29865.0,154
"a00000249",0,26,"female",140,8,1,1,"< 1 year","no",32175.0,151
"a00000250",0,24,"female",293,8,1,1,"< 1 year","no",39317.0,151
"a00000251",0,60,"male",266,28,1,0,"1-2 year","yes",53338.0,122
"a00000252",0,61,"female",117,15,1,1,"1-2 year","no",45858.0,122
"a00000253",0,36,"male",23,40,1,0,"1-2 year","yes",29728.0,154
"a00000254",0,23,"female",95,13,1,1,"< 1 year","no",29044.0,151
"a00000255",0,37,"female",143,28,1,0,"1-2 year","yes",27578.0,154
"a00000256",0,39,"male",35,28,1,1,"1-2 year","no",2630.0,151
"a00000257",0,30,"male",233,46,1,0,"1-2 year","yes",2630.0,154
"a00000258",0,23,"female",41,6,1,1,"< 1 year","no",27059.0,151
"a00000259",0,23,"male",75,46,1,0,"< 1 year","no",27736.0,151
"a00000260",1,34,"male",234,47,1,0,"1-2 year","yes",26359.0,154
"a00000261",0,68,"male",207,28,1,0,"1-2 year","no",32356.0,122
"a00000262",0,26,"female",140,28,1,1,"< 1 year","no",31687.0,151
"a00000263",0,63,"male",152,28,1,1,"1-2 year","no",55803.0,122
"a00000264",0,36,"male",261,28,1,0,"1-2 year","yes",26096.0,163
"a00000265",1,70,"male",128,46,1,0,"1-2 year","yes",26841.0,122
"a00000266",0,61,"female",69,45,1,1,"1-2 year","no",24717.0,154
"a00000267",1,33,"male",271,28,1,0,"1-2 year","yes",39654.0,122
"a00000268",1,30,"female",20,28,1,0,"< 1 year","yes",41863.0,122
"a00000269",0,31,"female",237,28,1,0,"1-2 year","yes",63015.0,122
"a00000270",0,41,"male",152,30,1,0,"1-2 year","yes",2630.0,154
"a00000271",0,41,"male",232,50,1,0,"1-2 year","yes",25500.0,154
"a00000272",0,23,"male",64,39,1,1,"< 1 year","no",31857.0,163
"a00000273",0,64,"female",31,28,1,1,"1-2 year","no",53709.0,122
"a00000274",0,23,"female",49,25,1,1,"< 1 year","no",28382.0,151
"a00000275",0,23,"female",167,30,1,0,"< 1 year","yes",36647.0,151
"a00000276",0,74,"male",25,28,1,1,"1-2 year","no",111040.0,122
"a00000277",1,29,"male",278,50,1,0,"1-2 year","yes",68051.0,154
"a00000278",1,51,"male",60,29,1,0,"1-2 year","yes",2630.0,163
"a00000279",0,46,"male",205,0,1,1,"1-2 year","no",2630.0,122
"a00000280",0,26,"male",260,28,1,1,"< 1 year","yes",26872.0,154
"a00000281",0,41,"male",128,28,1,0,"1-2 year","no",43085.0,163
"a00000282",0,74,"male",237,28,1,0,"1-2 year","yes",48788.0,122
"a00000283",1,42,"female",178,41,1,0,"1-2 year","yes",35684.0,154
"a00000284",0,64,"female",23,28,1,0,"1-2 year","yes",39264.0,122
"a00000285",0,23,"female",211,36,1,1,"< 1 year","no",34461.0,151
"a00000286",0,48,"female",217,30,1,0,"1-2 year","no",30111.0,154
"a00000287",0,44,"male",139,46,1,0,"1-2 year","yes",27505.0,163
"a00000288",0,46,"male",271,28,1,1,"1-2 year","no",40299.0,122
"a00000289",0,23,"male",60,49,1,0,"< 1 year","yes",35423.0,151
"a00000290",0,24,"male",81,12,1,0,"< 1 year","yes",25579.0,163
"a00000291",0,43,"female",252,28,1,1,"1-2 year","no",28854.0,122
"a00000292",1,34,"female",277,28,1,0,"1-2 year","yes",26405.0,122
"a00000293",0,55,"male",41,6,1,0,"1-2 year","yes",30419.0,154
"a00000294",1,34,"female",218,28,1,0,"1-2 year","yes",27003.0,122
"a00000295",1,39,"male",129,28,1,0,"1-2 year","yes",29728.0,163
"a00000296",0,41,"female",210,28,1,0,"1-2 year","yes",43330.0,122
"a00000297",0,57,"female",113,28,1,0,"1-2 year","no",28098.0,122
"a00000298",0,51,"male",199,26,1,0,"1-2 year","yes",37453.0,154
"a00000299",0,45,"male",205,28,1,0,"> 2 years","yes",30714.0,122
"a00000300",0,26,"female",91,11,1,0,"1-2 year","yes",43578.0,154
"a00000301",0,41,"male",83,28,1,1,"1-2 year","yes",34851.0,122
"a00000302",0,23,"female",109,22,1,0,"< 1 year","yes",33933.0,151
"a00000303",0,45,"male",172,27,1,0,"1-2 year","yes",26828.0,163
"a00000304",1,45,"male",206,45,1,0,"1-2 year","yes",2630.0,163
"a00000305",0,77,"male",267,28,1,1,"1-2 year","no",33249.0,122
"a00000306",1,25,"male",222,27,1,0,"< 1 year","yes",2630.0,163
"a00000307",0,55,"male",292,8,1,0,"> 2 years","yes",48516.0,154
"a00000308",1,38,"male",76,36,1,0,"1-2 year","yes",39022.0,154
"a00000309",1,27,"female",236,38,1,0,"1-2 year","yes",30725.0,154
"a00000310",1,26,"male",232,28,1,1,"< 1 year","yes",66840.0,151
"a00000311",0,45,"male",79,28,1,0,"1-2 year","yes",40833.0,122
"a00000312",1,44,"male",21,50,1,0,"1-2 year","yes",22223.0,154
"a00000313",0,23,"female",46,3,1,1,"< 1 year","no",29131.0,151
"a00000314",0,24,"female",114,9,1,0,"< 1 year","no",42510.0,151
"a00000315",0,42,"female",187,28,1,0,"1-2 year","yes",22387.0,122
"a00000316",0,44,"female",166,50,1,0,"1-2 year","yes",29912.0,122
"a00000317",1,21,"male",43,30,1,0,"1-2 year","no",19313.0,154
"a00000318",1,41,"female",90,28,1,0,"1-2 year","yes",28682.0,122
"a00000319",0,30,"male",28,28,1,0,"< 1 year","yes",46508.0,154
"a00000320",0,41,"male",95,21,1,0,"1-2 year","yes",39875.0,154
"a00000321",0,24,"male",17,27,1,0,"< 1 year","yes",33812.0,151
"a00000322",0,23,"female",192,32,1,0,"< 1 year","yes",19988.0,151
"a00000323",0,29,"male",271,8,1,1,"< 1 year","no",2630.0,151
"a00000324",0,72,"female",97,17,1,1,"1-2 year","no",29010.0,154
"a00000325",0,33,"male",129,28,1,1,"< 1 year","no",59008.0,151
"a00000326",0,41,"male",24,28,1,0,"1-2 year","yes",29127.0,154
"a00000327",0,43,"male",199,48,1,1,"1-2 year","no",2630.0,122
"a00000328",0,39,"female",200,24,1,0,"1-2 year","yes",32036.0,154
"a00000329",0,27,"female",153,28,1,0,"1-2 year","no",2630.0,122
"a00000330",1,32,"female",156,11,1,0,"1-2 year","yes",2630.0,154
"a00000331",0,24,"female",211,8,1,1,"< 1 year","no",2630.0,151
"a00000332",0,75,"male",45,33,1,0,"1-2 year","yes",29118.0,122
"a00000333",0,48,"male",172,15,1,0,"1-2 year","no",43522.0,163
"a00000334",0,64,"male",293,26,1,0,"1-2 year","yes",38537.0,154
"a00000335",0,76,"female",296,28,1,1,"1-2 year","no",50932.0,122
"a00000336",0,29,"female",192,8,1,0,"1-2 year","yes",41832.0,154
"a00000337",1,37,"female",28,28,1,0,"1-2 year","yes",46629.0,122
"a00000338",0,56,"female",81,28,1,0,"1-2 year","no",38507.0,122
"a00000339",0,29,"male",234,12,1,1,"1-2 year","yes",26404.0,154
"a00000340",1,42,"male",105,28,1,0,"1-2 year","yes",34848.0,122
"a00000341",1,35,"male",103,3,1,0,"1-2 year","yes",31632.0,154
"a00000342",0,64,"female",63,28,1,0,"1-2 year","no",33703.0,122
"a00000343",0,61,"male",181,28,1,1,"1-2 year","no",67229.0,122
"a00000344",0,40,"male",291,48,1,1,"1-2 year","yes",2630.0,154
"a00000345",0,47,"male",165,28,1,1,"1-2 year","no",24519.0,122
"a00000346",0,23,"male",280,21,1,1,"< 1 year","no",32306.0,151
"a00000347",0,28,"male",165,39,1,0,"< 1 year","yes",69951.0,151
"a00000348",0,44,"female",281,28,1,0,"1-2 year","no",2630.0,122
"a00000349",0,29,"female",107,36,1,1,"< 1 year","no",36338.0,151
"a00000350",0,29,"female",89,36,1,1,"< 1 year","no",41263.0,151
"a00000351",0,26,"female",55,28,1,1,"< 1 year","no",22797.0,122
"a00000352",0,31,"male",242,46,1,0,"1-2 year","yes",24441.0,154
"a00000353",0,66,"male",202,28,1,1,"1-2 year","no",30584.0,122
"a00000354",0,26,"female",28,28,1,1,"< 1 year","no",50819.0,151
"a00000355",0,48,"male",232,28,1,1,"1-2 year","no",38266.0,154
"a00000356",0,24,"male",91,14,1,1,"< 1 year","no",26326.0,151
"a00000357",1,34,"male",56,7,1,0,"1-2 year","yes",2630.0,163
"a00000358",0,64,"female",20,28,1,0,"1-2 year","yes",23637.0,122
"a00000359",0,23,"male",13,28,1,1,"< 1 year","no",18549.0,151
"a00000360",0,61,"male",169,28,1,1,"1-2 year","no",27268.0,154
"a00000361",0,23,"female",261,2,1,1,"< 1 year","yes",24220.0,151
"a00000362",0,36,"male",224,28,1,1,"1-2 year","no",41529.0,151
"a00000363",0,57,"male",71,28,1,0,"> 2 years","yes",24717.0,122
"a00000364",0,31,"female",132,27,1,0,"< 1 year","yes",20248.0,154
"a00000365",0,40,"female",253,28,1,0,"1-2 year","yes",28935.0,122
"a00000366",1,28,"male",25,2,1,0,"1-2 year","yes",37983.0,122
"a00000367",0,39,"male",33,28,1,0,"> 2 years","yes",57190.0,154
"a00000368",0,37,"male",297,28,1,0,"1-2 year","yes",35373.0,154
