"id_new","age","gender","tenure","region","dl","has_v_insurance","v_age","v_accident","v_prem_quote","cs_rep"
"a00020506",26,"male",22,29,1,1,"< 1 year","no",29883.0,151
"a00020507",42,"male",285,28,1,0,"> 2 years","yes",40745.0,122
"a00020508",47,"female",206,28,1,0,"> 2 years","yes",42712.0,122
"a00020509",22,"female",147,11,1,1,"< 1 year","no",2630.0,122
"a00020510",48,"female",63,0,1,0,"1-2 year","yes",2630.0,122
"a00020511",26,"female",299,31,1,0,"1-2 year","yes",2630.0,154
"a00020512",52,"male",168,30,1,0,"1-2 year","yes",30433.0,122
"a00020513",62,"male",184,28,1,1,"1-2 year","no",38951.0,122
"a00020514",25,"female",284,33,1,0,"< 1 year","yes",37683.0,151
"a00020515",21,"female",189,33,1,1,"< 1 year","no",33661.0,163
"a00020516",23,"female",215,36,1,0,"< 1 year","yes",22812.0,151
"a00020517",43,"male",17,28,1,0,"1-2 year","yes",28309.0,122
"a00020518",33,"male",157,39,1,1,"1-2 year","no",38262.0,122
"a00020519",32,"male",287,28,1,0,"1-2 year","yes",31462.0,154
"a00020520",72,"male",184,28,1,1,"1-2 year","no",69453.0,122
"a00020521",29,"female",130,28,1,0,"1-2 year","yes",35812.0,122
"a00020522",27,"female",138,8,1,1,"< 1 year","no",43942.0,151
"a00020523",37,"male",83,8,1,0,"1-2 year","yes",34535.0,154
"a00020524",42,"male",203,30,1,0,"1-2 year","yes",31029.0,122
"a00020525",23,"female",137,13,1,0,"< 1 year","no",24843.0,151
"a00020526",24,"female",18,36,1,1,"< 1 year","no",25364.0,151
"a00020527",43,"male",147,28,1,1,"1-2 year","no",42515.0,154
"a00020528",26,"female",238,36,1,1,"< 1 year","no",35498.0,151
"a00020529",24,"female",227,28,1,0,"< 1 year","yes",49914.0,163
"a00020530",79,"female",133,28,1,0,"> 2 years","yes",48825.0,122
"a00020531",24,"male",246,16,1,1,"< 1 year","no",15660.0,151
"a00020532",44,"female",202,21,1,1,"1-2 year","no",31972.0,154
"a00020533",25,"male",272,17,1,1,"< 1 year","no",2630.0,151
"a00020534",26,"female",19,28,1,0,"< 1 year","yes",42313.0,163
"a00020535",36,"male",192,43,1,0,"1-2 year","yes",2630.0,154
"a00020536",44,"female",107,28,1,0,"1-2 year","yes",33180.0,122
"a00020537",25,"female",202,25,1,0,"< 1 year","yes",25736.0,151
"a00020538",23,"male",233,28,1,1,"< 1 year","no",34649.0,151
"a00020539",55,"female",137,28,1,0,"> 2 years","yes",39281.0,122
"a00020540",44,"male",281,28,1,0,"1-2 year","yes",40305.0,122
"a00020541",38,"male",280,28,1,0,"1-2 year","yes",47484.0,122
"a00020542",30,"female",47,30,1,0,"1-2 year","yes",28933.0,154
"a00020543",24,"female",177,39,1,0,"< 1 year","no",26590.0,151
"a00020544",61,"male",127,28,1,0,"1-2 year","yes",44649.0,122
"a00020545",45,"female",126,28,1,0,"1-2 year","yes",31312.0,154
"a00020546",42,"male",257,28,1,1,"1-2 year","no",30543.0,122
"a00020547",76,"female",199,28,1,0,"> 2 years","yes",56474.0,122
"a00020548",50,"male",14,28,1,1,"1-2 year","no",45859.0,122
"a00020549",49,"female",93,30,1,0,"1-2 year","yes",30723.0,154
"a00020550",60,"male",187,8,1,1,"1-2 year","no",49135.0,154
"a00020551",56,"male",207,28,1,0,"1-2 year","yes",31197.0,122
"a00020552",23,"male",80,33,1,1,"< 1 year","no",24948.0,154
"a00020553",47,"male",58,29,1,0,"1-2 year","yes",20277.0,163
"a00020554",24,"male",56,8,1,1,"< 1 year","no",50130.0,151
"a00020555",42,"female",58,28,1,0,"1-2 year","yes",2630.0,122
"a00020556",32,"male",155,28,1,0,"1-2 year","yes",38767.0,163
"a00020557",32,"female",153,0,1,1,"< 1 year","no",2630.0,163
"a00020558",27,"male",123,23,1,0,"1-2 year","yes",23521.0,163
"a00020559",29,"female",131,43,1,0,"1-2 year","yes",30506.0,154
"a00020560",70,"male",245,28,1,0,"1-2 year","yes",36017.0,122
"a00020561",22,"female",199,3,1,1,"< 1 year","no",63179.0,163
"a00020562",23,"male",212,21,1,1,"< 1 year","no",28204.0,151
"a00020563",34,"female",17,21,1,0,"1-2 year","no",29715.0,122
"a00020564",24,"female",204,8,1,1,"< 1 year","no",31549.0,151
"a00020565",47,"male",247,28,1,0,"1-2 year","yes",2630.0,122
"a00020566",32,"male",269,28,1,0,"1-2 year","yes",2630.0,154
"a00020567",68,"female",103,9,1,1,"1-2 year","no",33728.0,122
"a00020568",69,"male",127,28,1,0,"1-2 year","yes",41046.0,122
"a00020569",23,"female",75,50,1,1,"< 1 year","no",42321.0,151
"a00020570",24,"female",138,37,1,0,"< 1 year","yes",29675.0,151
"a00020571",25,"female",118,6,1,1,"< 1 year","no",28066.0,151
"a00020572",73,"male",28,28,1,0,"1-2 year","yes",65368.0,122
"a00020573",27,"male",199,33,1,0,"1-2 year","yes",32951.0,163
"a00020574",36,"male",290,1,1,0,"1-2 year","yes",2630.0,154
"a00020575",22,"female",191,35,1,0,"1-2 year","yes",30417.0,154
"a00020576",47,"female",121,35,1,0,"1-2 year","no",27574.0,154
"a00020577",44,"female",255,0,1,0,"1-2 year","yes",2630.0,122
"a00020578",56,"female",179,28,1,0,"1-2 year","yes",52905.0,122
"a00020579",42,"male",16,39,1,0,"1-2 year","yes",28528.0,163
"a00020580",68,"male",100,28,1,1,"1-2 year","no",45463.0,122
"a00020581",24,"male",247,29,1,1,"< 1 year","no",28225.0,163
"a00020582",45,"female",38,15,1,1,"1-2 year","no",29368.0,151
"a00020583",23,"male",183,8,1,1,"< 1 year","no",75943.0,151
"a00020584",26,"male",75,47,1,0,"< 1 year","yes",24085.0,163
"a00020585",23,"female",215,47,1,0,"< 1 year","yes",34793.0,151
"a00020586",26,"female",220,8,1,0,"< 1 year","yes",33119.0,122
"a00020587",25,"female",249,3,1,1,"< 1 year","no",40283.0,122
"a00020588",49,"male",254,39,1,0,"1-2 year","yes",29490.0,163
"a00020589",39,"male",120,15,1,0,"1-2 year","yes",2630.0,154
"a00020590",23,"male",226,8,1,1,"< 1 year","no",71588.0,151
"a00020591",26,"male",23,23,1,1,"< 1 year","no",21355.0,154
"a00020592",38,"male",91,28,1,0,"1-2 year","yes",42794.0,154
"a00020593",55,"female",186,9,1,0,"1-2 year","no",39173.0,154
"a00020594",48,"female",31,28,1,0,"1-2 year","no",39993.0,154
"a00020595",22,"male",141,14,1,0,"< 1 year","yes",42474.0,163
"a00020596",60,"female",208,28,1,0,"1-2 year","yes",46914.0,122
"a00020597",34,"male",137,48,1,0,"1-2 year","no",2630.0,122
"a00020598",40,"male",250,13,1,0,"1-2 year","yes",23606.0,154
"a00020599",36,"male",52,7,1,0,"1-2 year","yes",2630.0,154
"a00020600",54,"male",151,28,1,0,"1-2 year","yes",2630.0,122
"a00020601",52,"male",133,28,1,0,"> 2 years","yes",50058.0,122
"a00020602",49,"female",83,8,1,0,"> 2 years","yes",36204.0,154
"a00020603",22,"male",212,46,1,0,"< 1 year","yes",29771.0,154
"a00020604",57,"female",234,28,1,0,"> 2 years","yes",41294.0,122
"a00020605",69,"male",288,47,1,1,"1-2 year","no",34752.0,122
"a00020606",42,"male",222,46,1,0,"1-2 year","yes",21763.0,122
"a00020607",25,"female",266,29,1,1,"< 1 year","no",25188.0,151
"a00020608",35,"male",76,41,1,0,"1-2 year","yes",21944.0,163
"a00020609",21,"male",213,23,1,0,"1-2 year","yes",28552.0,154
"a00020610",40,"male",230,13,1,1,"1-2 year","no",30350.0,163
"a00020611",41,"male",254,28,1,0,"1-2 year","yes",2630.0,163
"a00020612",69,"male",122,28,1,1,"1-2 year","no",43599.0,122
"a00020613",76,"male",266,28,1,0,"1-2 year","yes",36415.0,163
"a00020614",23,"female",210,46,1,1,"< 1 year","no",27062.0,151
"a00020615",36,"female",109,28,1,0,"1-2 year","yes",34554.0,122
"a00020616",70,"female",51,3,1,0,"1-2 year","yes",38440.0,163
"a00020617",45,"male",192,28,1,1,"1-2 year","no",45250.0,122
"a00020618",37,"female",186,15,1,0,"1-2 year","yes",24844.0,151
"a00020619",47,"male",62,35,1,1,"1-2 year","no",41798.0,122
"a00020620",75,"female",232,28,1,0,"1-2 year","yes",62171.0,122
"a00020621",56,"male",276,35,1,0,"1-2 year","yes",30949.0,163
"a00020622",56,"male",193,28,1,0,"1-2 year","yes",49082.0,122
"a00020623",30,"male",179,46,1,0,"1-2 year","no",37352.0,163
"a00020624",60,"male",233,28,1,0,"1-2 year","yes",38045.0,122
"a00020625",57,"female",108,28,1,0,"1-2 year","yes",37455.0,122
"a00020626",69,"female",82,28,0,0,"1-2 year","yes",31145.0,122
"a00020627",23,"female",258,30,1,1,"< 1 year","no",26041.0,151
"a00020628",34,"male",79,0,1,1,"1-2 year","no",2630.0,122
"a00020629",59,"male",276,28,1,0,"1-2 year","yes",62606.0,122
"a00020630",69,"female",111,28,1,0,"> 2 years","yes",66081.0,122
"a00020631",32,"female",156,7,1,0,"< 1 year","yes",38336.0,154
"a00020632",51,"female",65,28,1,1,"1-2 year","no",38535.0,122
"a00020633",70,"female",193,28,1,0,"1-2 year","yes",49367.0,122
"a00020634",29,"female",11,46,1,0,"< 1 year","yes",39598.0,163
"a00020635",33,"male",251,18,1,0,"< 1 year","yes",31697.0,154
"a00020636",38,"male",152,29,1,0,"1-2 year","no",2630.0,154
"a00020637",36,"female",110,28,1,0,"1-2 year","yes",30222.0,122
"a00020638",45,"female",294,28,1,0,"1-2 year","yes",39944.0,122
"a00020639",41,"female",223,28,1,0,"1-2 year","yes",18077.0,154
"a00020640",36,"female",59,0,1,1,"1-2 year","no",2630.0,151
"a00020641",58,"female",93,41,0,0,"1-2 year","yes",52775.0,122
"a00020642",27,"male",161,28,1,1,"< 1 year","no",2630.0,151
"a00020643",26,"female",152,28,1,1,"< 1 year","no",46248.0,151
"a00020644",23,"female",40,37,1,0,"< 1 year","yes",2630.0,154
"a00020645",52,"male",176,18,1,0,"1-2 year","yes",39468.0,163
"a00020646",40,"male",200,11,1,0,"1-2 year","yes",34953.0,154
"a00020647",65,"female",17,46,1,1,"1-2 year","no",2630.0,122
"a00020648",67,"female",263,28,1,0,"1-2 year","yes",24742.0,154
"a00020649",34,"female",262,36,1,0,"1-2 year","yes",2630.0,154
"a00020650",23,"male",230,25,1,1,"< 1 year","no",28150.0,151
"a00020651",50,"male",89,28,1,0,"1-2 year","yes",45528.0,122
"a00020652",57,"female",57,28,1,0,"> 2 years","yes",29573.0,122
"a00020653",77,"male",242,28,1,0,"> 2 years","yes",2630.0,122
"a00020654",49,"female",102,28,1,0,"1-2 year","yes",38623.0,122
"a00020655",32,"female",31,28,1,0,"< 1 year","yes",45736.0,122
"a00020656",68,"male",226,0,1,0,"1-2 year","yes",2630.0,122
"a00020657",48,"male",136,28,1,0,"> 2 years","yes",38641.0,122
"a00020658",49,"female",149,46,1,0,"1-2 year","yes",27891.0,154
"a00020659",25,"female",264,36,1,1,"< 1 year","no",27740.0,151
"a00020660",49,"male",295,28,1,1,"1-2 year","no",42345.0,122
"a00020661",43,"male",31,28,1,0,"> 2 years","yes",41283.0,122
"a00020662",47,"male",210,33,1,0,"1-2 year","yes",30082.0,154
"a00020663",61,"male",11,0,1,0,"> 2 years","yes",2630.0,122
"a00020664",23,"male",122,8,1,1,"< 1 year","no",25935.0,151
"a00020665",76,"male",16,28,1,1,"1-2 year","no",33183.0,122
"a00020666",52,"male",141,8,1,0,"1-2 year","yes",52914.0,163
"a00020667",77,"female",139,28,1,0,"1-2 year","no",49338.0,122
"a00020668",77,"male",30,28,1,1,"1-2 year","no",54862.0,122
"a00020669",42,"male",87,28,1,0,"1-2 year","yes",38345.0,163
"a00020670",39,"male",277,46,1,0,"1-2 year","yes",28273.0,154
"a00020671",23,"male",296,47,1,1,"< 1 year","no",32357.0,151
"a00020672",69,"female",285,28,1,1,"1-2 year","no",38555.0,122
"a00020673",59,"female",227,28,1,1,"1-2 year","no",53706.0,122
"a00020674",33,"female",259,28,1,0,"1-2 year","yes",25363.0,122
"a00020675",50,"female",53,32,1,0,"1-2 year","no",34295.0,151
"a00020676",24,"female",201,11,1,0,"< 1 year","yes",29142.0,151
"a00020677",55,"female",211,28,1,0,"1-2 year","yes",22981.0,122
"a00020678",21,"female",46,8,1,0,"< 1 year","yes",37574.0,154
"a00020679",28,"female",252,30,1,0,"< 1 year","yes",22754.0,122
"a00020680",70,"female",97,28,1,0,"> 2 years","yes",24318.0,122
"a00020681",29,"female",207,28,1,1,"< 1 year","no",37520.0,122
"a00020682",51,"male",31,7,1,0,"1-2 year","yes",2630.0,154
"a00020683",34,"male",81,8,1,0,"1-2 year","yes",45645.0,122
"a00020684",54,"female",82,24,1,0,"1-2 year","yes",33995.0,122
"a00020685",54,"male",253,28,1,0,"> 2 years","yes",2630.0,122
"a00020686",23,"female",154,8,1,0,"< 1 year","yes",28704.0,151
"a00020687",43,"female",137,28,1,0,"1-2 year","yes",44271.0,122
"a00020688",49,"male",117,28,1,0,"1-2 year","yes",2630.0,154
"a00020689",48,"female",98,39,1,0,"1-2 year","yes",32259.0,154
"a00020690",44,"female",288,28,1,0,"1-2 year","yes",27155.0,122
"a00020691",52,"female",246,46,1,1,"1-2 year","no",2630.0,151
"a00020692",21,"male",231,8,1,0,"< 1 year","yes",35891.0,154
"a00020693",61,"male",195,28,1,1,"1-2 year","no",49961.0,122
"a00020694",55,"female",220,28,1,0,"1-2 year","no",26378.0,122
"a00020695",20,"male",150,14,1,0,"< 1 year","yes",31078.0,163
"a00020696",48,"male",193,28,1,0,"> 2 years","yes",26191.0,122
"a00020697",68,"female",253,28,1,0,"1-2 year","yes",47655.0,122
"a00020698",58,"female",35,30,1,0,"1-2 year","yes",35331.0,122
"a00020699",22,"male",222,36,1,0,"< 1 year","yes",29226.0,163
"a00020700",21,"female",289,30,1,1,"< 1 year","no",32100.0,163
"a00020701",31,"female",209,10,1,1,"< 1 year","no",32942.0,151
"a00020702",45,"female",133,8,1,0,"1-2 year","yes",38864.0,154
"a00020703",28,"male",48,28,1,0,"< 1 year","yes",56112.0,163
"a00020704",30,"male",183,41,1,0,"1-2 year","yes",2630.0,163
"a00020705",23,"female",36,11,1,1,"< 1 year","no",23142.0,151
"a00020706",29,"female",206,41,1,0,"1-2 year","yes",29328.0,154
"a00020707",53,"male",89,46,1,0,"1-2 year","yes",41327.0,122
"a00020708",35,"female",140,11,1,0,"1-2 year","yes",27542.0,154
"a00020709",52,"male",81,28,1,0,"> 2 years","yes",31030.0,122
"a00020710",44,"female",61,28,1,1,"1-2 year","no",23991.0,122
"a00020711",51,"male",217,3,1,0,"1-2 year","yes",26575.0,154
"a00020712",23,"male",201,11,1,1,"< 1 year","no",33867.0,151
"a00020713",41,"female",44,50,1,0,"1-2 year","yes",30639.0,163
"a00020714",52,"male",64,8,1,0,"> 2 years","yes",38589.0,122
"a00020715",32,"male",27,28,1,0,"1-2 year","yes",2630.0,122
"a00020716",26,"male",16,14,1,1,"< 1 year","no",24429.0,151
"a00020717",41,"male",11,28,1,0,"1-2 year","yes",33274.0,122
"a00020718",42,"female",255,40,1,0,"1-2 year","yes",2630.0,122
"a00020719",56,"male",147,36,1,0,"1-2 year","yes",2630.0,154
"a00020720",63,"female",156,28,1,0,"1-2 year","yes",60732.0,122
"a00020721",39,"male",43,28,1,0,"1-2 year","yes",22898.0,154
"a00020722",37,"male",35,28,1,1,"1-2 year","no",30290.0,154
"a00020723",58,"male",279,28,1,0,"1-2 year","yes",25620.0,122
"a00020724",24,"female",156,47,1,0,"< 1 year","yes",33450.0,151
"a00020725",41,"female",109,28,1,1,"1-2 year","no",43484.0,122
"a00020726",44,"female",20,41,1,1,"1-2 year","no",25538.0,122
"a00020727",51,"female",199,28,1,0,"1-2 year","no",2630.0,163
"a00020728",46,"female",218,8,1,0,"1-2 year","yes",2630.0,154
"a00020729",56,"male",263,28,1,0,"1-2 year","yes",30301.0,122
"a00020730",65,"male",152,28,1,0,"> 2 years","yes",35216.0,122
"a00020731",50,"female",295,28,1,0,"1-2 year","yes",43349.0,122
"a00020732",74,"male",259,28,1,1,"1-2 year","no",57660.0,122
"a00020733",43,"male",285,41,1,0,"1-2 year","yes",35866.0,122
"a00020734",23,"female",103,22,1,0,"< 1 year","yes",28784.0,151
"a00020735",32,"male",15,8,1,0,"< 1 year","yes",41098.0,154
"a00020736",27,"female",270,28,1,1,"< 1 year","no",48130.0,151
"a00020737",28,"female",113,45,1,0,"1-2 year","yes",38537.0,154
"a00020738",24,"female",214,15,1,1,"< 1 year","no",20425.0,151
"a00020739",59,"male",43,50,1,1,"1-2 year","no",49576.0,122
"a00020740",40,"male",195,29,1,0,"1-2 year","yes",35861.0,122
"a00020741",46,"male",286,0,1,0,"1-2 year","yes",2630.0,122
"a00020742",37,"male",122,36,1,1,"1-2 year","no",37760.0,151
"a00020743",54,"male",225,28,1,0,"1-2 year","yes",43390.0,122
"a00020744",33,"female",13,28,1,1,"< 1 year","yes",32170.0,154
"a00020745",69,"male",130,28,1,0,"> 2 years","yes",43816.0,122
"a00020746",27,"male",160,31,1,0,"< 1 year","no",2630.0,151
"a00020747",65,"female",116,35,1,0,"1-2 year","yes",55377.0,122
"a00020748",50,"female",248,28,1,1,"1-2 year","no",37715.0,122
"a00020749",41,"female",144,28,1,1,"1-2 year","no",32432.0,122
"a00020750",33,"female",257,28,1,0,"1-2 year","yes",28188.0,122
"a00020751",64,"male",63,28,1,0,"1-2 year","no",40152.0,122
"a00020752",44,"female",73,28,1,0,"> 2 years","yes",68122.0,122
"a00020753",23,"female",180,46,1,1,"< 1 year","no",29755.0,151
"a00020754",73,"female",74,10,1,0,"> 2 years","yes",30865.0,122
"a00020755",45,"male",54,41,1,0,"1-2 year","yes",30883.0,154
"a00020756",40,"female",40,28,1,0,"1-2 year","yes",43616.0,122
"a00020757",39,"female",163,28,1,0,"1-2 year","yes",30594.0,163
"a00020758",75,"female",46,45,1,1,"1-2 year","no",33360.0,154
"a00020759",39,"male",21,28,1,0,"1-2 year","yes",28092.0,122
"a00020760",56,"male",233,29,1,0,"1-2 year","yes",68319.0,122
"a00020761",40,"male",152,24,1,0,"1-2 year","yes",27721.0,154
"a00020762",63,"female",299,0,1,0,"1-2 year","no",2630.0,122
"a00020763",48,"male",282,38,1,0,"1-2 year","yes",13846.0,154
"a00020764",36,"male",206,34,1,0,"1-2 year","yes",38391.0,154
"a00020765",31,"male",80,46,1,0,"< 1 year","yes",24000.0,163
"a00020766",43,"female",90,28,1,1,"1-2 year","no",61742.0,122
"a00020767",37,"male",75,8,1,0,"1-2 year","yes",34176.0,154
"a00020768",32,"female",86,28,1,0,"< 1 year","yes",32194.0,154
"a00020769",51,"male",99,46,1,0,"1-2 year","yes",29090.0,154
"a00020770",51,"female",136,39,1,0,"1-2 year","yes",28378.0,154
"a00020771",35,"male",113,37,1,0,"1-2 year","yes",2630.0,154
"a00020772",77,"male",232,28,1,0,"1-2 year","yes",44510.0,122
"a00020773",50,"male",217,8,1,0,"1-2 year","yes",114983.0,154
"a00020774",38,"male",284,28,1,0,"1-2 year","yes",34778.0,122
"a00020775",33,"male",66,28,1,0,"1-2 year","yes",27021.0,163
"a00020776",24,"female",150,15,1,1,"< 1 year","no",27229.0,151
"a00020777",37,"male",157,14,1,0,"1-2 year","yes",50550.0,122
"a00020778",74,"male",227,28,1,0,"> 2 years","yes",46439.0,122
"a00020779",53,"male",212,28,1,0,"1-2 year","yes",39319.0,122
"a00020780",26,"female",257,13,1,1,"< 1 year","no",34040.0,151
"a00020781",76,"male",110,42,1,0,"1-2 year","yes",28443.0,122
"a00020782",39,"male",184,24,1,0,"1-2 year","yes",25987.0,154
"a00020783",60,"female",85,38,1,0,"1-2 year","yes",32353.0,163
"a00020784",38,"female",17,28,1,0,"1-2 year","yes",34234.0,154
"a00020785",33,"female",156,41,1,0,"1-2 year","yes",36133.0,154
"a00020786",23,"female",109,45,1,1,"< 1 year","no",19784.0,151
"a00020787",42,"male",270,6,1,0,"1-2 year","yes",32073.0,154
"a00020788",52,"male",277,28,1,1,"1-2 year","no",31841.0,122
"a00020789",35,"female",153,3,1,0,"1-2 year","yes",24065.0,154
"a00020790",37,"male",55,28,1,0,"1-2 year","yes",21195.0,154
"a00020791",54,"male",159,28,1,0,"1-2 year","yes",38101.0,122
"a00020792",42,"male",284,28,1,0,"1-2 year","yes",34861.0,154
"a00020793",52,"male",295,11,1,0,"> 2 years","yes",2630.0,122
"a00020794",28,"male",174,30,1,0,"1-2 year","yes",2630.0,154
"a00020795",23,"female",97,13,1,1,"< 1 year","no",27648.0,151
"a00020796",30,"female",98,28,1,0,"< 1 year","yes",43563.0,122
"a00020797",28,"male",182,47,1,0,"1-2 year","no",35714.0,154
"a00020798",25,"male",69,10,1,1,"< 1 year","no",30772.0,151
"a00020799",74,"female",210,28,1,0,"1-2 year","yes",43379.0,122
"a00020800",23,"female",42,15,1,1,"< 1 year","no",41717.0,151
"a00020801",48,"male",263,28,1,0,"1-2 year","yes",41023.0,122
"a00020802",62,"female",175,33,1,0,"> 2 years","yes",45102.0,122
"a00020803",50,"male",296,8,1,0,"1-2 year","yes",44356.0,154
"a00020804",25,"male",135,28,1,1,"< 1 year","no",51043.0,151
"a00020805",32,"male",104,41,1,1,"< 1 year","no",45278.0,151
"a00020806",41,"female",34,28,1,0,"1-2 year","yes",51236.0,122
"a00020807",51,"female",51,0,1,0,"1-2 year","yes",2630.0,122
"a00020808",38,"female",155,28,1,0,"1-2 year","yes",2630.0,163
"a00020809",46,"female",143,28,1,0,"1-2 year","yes",44779.0,122
"a00020810",31,"male",153,28,1,0,"1-2 year","yes",50324.0,154
"a00020811",24,"female",21,47,1,0,"< 1 year","yes",44346.0,151
"a00020812",25,"female",177,41,1,1,"< 1 year","no",31628.0,151
"a00020813",26,"female",57,3,1,0,"1-2 year","yes",2630.0,163
"a00020814",70,"male",297,28,1,0,"1-2 year","yes",58756.0,122
"a00020815",51,"male",290,28,1,0,"1-2 year","yes",71352.0,122
"a00020816",56,"male",269,28,1,0,"> 2 years","yes",51503.0,122
"a00020817",43,"female",37,28,1,0,"1-2 year","yes",44084.0,122
"a00020818",29,"female",123,45,1,0,"1-2 year","yes",24906.0,154
"a00020819",55,"female",40,23,1,1,"1-2 year","no",22662.0,154
"a00020820",57,"female",231,28,1,0,"1-2 year","yes",39631.0,163
"a00020821",44,"male",166,28,1,0,"1-2 year","yes",34026.0,163
"a00020822",26,"female",264,28,1,0,"1-2 year","yes",33064.0,122
"a00020823",25,"female",186,29,1,1,"< 1 year","no",22287.0,151
"a00020824",39,"male",49,28,1,0,"1-2 year","yes",44685.0,122
"a00020825",25,"male",282,41,1,0,"< 1 year","yes",2630.0,154
"a00020826",49,"male",278,28,1,1,"1-2 year","no",41622.0,122
"a00020827",24,"female",45,15,1,0,"< 1 year","yes",41043.0,151
"a00020828",70,"male",47,0,1,0,"1-2 year","yes",2630.0,122
"a00020829",39,"male",124,11,1,1,"1-2 year","no",44688.0,154
"a00020830",54,"male",157,41,1,0,"1-2 year","no",31058.0,122
"a00020831",53,"female",88,28,1,0,"1-2 year","yes",42146.0,122
"a00020832",24,"male",22,13,1,1,"< 1 year","no",30088.0,151
"a00020833",23,"female",139,20,1,1,"< 1 year","no",2630.0,151
"a00020834",64,"male",19,28,1,0,"1-2 year","yes",35767.0,122
"a00020835",61,"male",171,28,1,1,"1-2 year","no",40177.0,122
"a00020836",27,"male",291,0,1,1,"< 1 year","no",2630.0,151
"a00020837",22,"male",239,28,1,1,"1-2 year","no",30256.0,122
"a00020838",42,"male",161,28,1,1,"1-2 year","no",26837.0,122
"a00020839",25,"female",83,15,1,0,"< 1 year","no",2630.0,151
"a00020840",41,"male",83,28,1,0,"1-2 year","yes",62057.0,122
"a00020841",23,"male",125,8,1,1,"< 1 year","no",2630.0,151
"a00020842",36,"male",16,50,1,1,"1-2 year","yes",21873.0,151
"a00020843",31,"male",63,23,1,1,"1-2 year","no",25974.0,154
"a00020844",49,"male",84,24,1,0,"1-2 year","yes",2630.0,122
"a00020845",57,"male",248,38,1,0,"1-2 year","yes",2630.0,154
"a00020846",23,"male",259,31,1,1,"< 1 year","no",2630.0,151
"a00020847",43,"male",161,8,1,0,"1-2 year","yes",41960.0,154
"a00020848",51,"male",88,24,1,0,"1-2 year","yes",35996.0,154
